"feedname","eventname","timestamp","type","value"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","pivnayabiz.hldns.ru"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","we.webdesk.email"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","co.colnhubplus.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","ad.administratorr.website"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","ip105.ip-54-36-185.eu"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","npm.safonov.eu"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","eagle.safonov.eu"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","browserplugin.duckdns.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:50","hostname","vm1195891.kvm.had.wf"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:51","hostname","citysammy.casacam.net"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:51","hostname","130.zuole.ml"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:51","hostname","system-update.serveuser.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:51","hostname","web57603.majorcore.host"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:52","hostname","wp.10x00.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:52","hostname","monocular71.euroshop04.eu"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:52","hostname","monocular69-4.euroshop04.eu"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:52","hostname","monocular69-3.euroshop04.eu"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:52","hostname","keitaro.euroshop04.eu"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:52","hostname","hairwig077.euroshop04.eu"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:52","hostname","update.chromeconnect.digital"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:52","hostname","656ttyghhg.hopto.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:52","hostname","xexex.duckdns.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:52","hostname","mechnicsde.dp.ua"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:52","hostname","emda-2.duckdns.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:52","hostname","290479-cm36076.tmweb.ru"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:52","hostname","r96041kf.beget.tech"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:52","hostname","neformal.ajci.tk"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:53","hostname","truva2007.com.tr"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:53","hostname","luminuis.000webhostapp.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:53","hostname","metaleptical-agent.000webhostapp.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:53","hostname","rockyhost123.b0tnet.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:53","hostname","infosales.duckdns.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:53","hostname","md-67.whb.tempwebhost.net"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:53","hostname","tradefair.duckdns.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:53","hostname","doohs11111.000webhostapp.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:53","hostname","vm1148613.hl.had.pm"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:53","hostname","restored.appleuserlock-pagescrty2019ere.fwaavenue.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:53","hostname","digitalpass.duckdns.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:53","hostname","securepaypalfr.ddns.net"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:53","hostname","panel.gajarweb.eu"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:53","hostname","bunkersintl.com.server0394.best"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:53","hostname","cc2.vsl.sh"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:53","hostname","name242215315.000webhostapp.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:53","hostname","sakall.000webhostapp.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:53","hostname","perdej.000webhostapp.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:53","hostname","noreplying.selfip.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:54","hostname","up908.viewdns.net"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:54","hostname","server.geeksquadrenew.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:54","hostname","hooktronic1.000webhostapp.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:54","hostname","botnet.updater-windows.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:54","hostname","11716-45741.ws4.pph-server.de"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:54","hostname","sufibusinessclassflights.co.uk"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:54","hostname","updnaral.000webhostapp.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:54","hostname","lemado.duckdns.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:54","hostname","maryduke.co.uk"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:54","hostname","b.cracking.be"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:54","hostname","gogfree1.000webhostapp.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:54","hostname","theblackfun.000webhostapp.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:54","hostname","hyker.000webhostapp.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:54","hostname","rulletedonut.000webhostapp.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:54","hostname","benzemahaha.000webhostapp.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:54","hostname","mantini.duckdns.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:54","hostname","ajlougamer1231.mskhost.pro"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:54","hostname","stiller245245234.ffox.site"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:54","hostname","karamlol.000webhostapp.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:54","hostname","pulka.pp.ua"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:54","hostname","karamelka1.000webhostapp.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:55","hostname","u75728.test-handyhost.ru"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:55","hostname","hvhlegendpro.000webhostapp.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:55","hostname","i9789238.beget.tech"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:55","hostname","deathsun1337.000webhostapp.com"
