"feedname","eventname","timestamp","type","value"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","05/12/2020 10:15:14","domain","crypetecranch.best"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","05/12/2020 10:15:15","domain","egedemaer.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","05/12/2020 10:15:15","domain","oxxoboats.top"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","05/12/2020 11:30:11","domain","crypetecranch.best"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","05/12/2020 11:30:11","domain","egedemaer.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","05/12/2020 11:30:11","domain","oxxoboats.top"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","06/12/2020 08:00:13","domain","xoruf.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","06/12/2020 08:00:19","domain","asderator.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","06/12/2020 16:00:09","domain","ddnsssaa.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","06/12/2020 18:15:09","domain","ddnsssaa.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","06/12/2020 21:00:10","domain","greenwsdykegheedahatakankeadeshnaawsgma.ydns.eu"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","06/12/2020 21:00:10","domain","webtex.ga"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","06/12/2020 21:15:10","domain","pfstechexpo.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","06/12/2020 21:15:10","domain","legalpath.in"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","06/12/2020 21:30:08","domain","acetaldehydetoxicity.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","06/12/2020 22:30:10","domain","x26zc.xyz"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","06/12/2020 22:45:10","domain","retrak.co.ke"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","06/12/2020 23:30:08","domain","refreshkho.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","07/12/2020 02:00:09","domain","refreshkho.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","07/12/2020 09:30:10","domain","acetaldehydetoxicity.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Reecdeep","07/12/2020 12:00:09","domain","api.telegram.org"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","07/12/2020 13:30:08","domain","acetaldehydetoxicity.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Netwire","07/12/2020 15:45:14","domain","waxb.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","07/12/2020 16:00:08","domain","refreshkho.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","07/12/2020 20:00:12","domain","milliship.top"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","07/12/2020 20:00:13","domain","14katok.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","07/12/2020 20:00:13","domain","firstpetja.top"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","07/12/2020 20:00:13","domain","fislatriller.best"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","07/12/2020 20:00:14","domain","portugalloindostan.top"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","07/12/2020 20:00:14","domain","tsarabsolutely.top"
"CASTALDI-T","ThreatIngestor Event: Twitter-Azorult","07/12/2020 21:15:10","domain","kalamiksndyonlinedeliverystoreservsnfqm.ydns.eu"
"CASTALDI-T","ThreatIngestor Event: Twitter-Azorult","07/12/2020 21:15:11","domain","paratuseventos.cl"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","07/12/2020 21:30:09","domain","shgshgsndynationalobjindustrialatsngpx.ydns.eu"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","07/12/2020 21:30:10","domain","benweve.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","07/12/2020 22:15:09","domain","roycolemandds.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","07/12/2020 22:15:10","domain","foremanindustrial.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","07/12/2020 22:30:09","domain","qqmailappupdate.ga"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","08/12/2020 00:30:09","domain","ddnsssaa.ddns.net"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","08/12/2020 01:45:11","domain","milliship.top"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","08/12/2020 06:30:11","domain","qataracfridgerepaire.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","08/12/2020 07:15:10","domain","roycolemandds.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","08/12/2020 10:15:12","domain","milliship.top"
"CASTALDI-T","ThreatIngestor Event: Twitter-Dridex","08/12/2020 11:00:10","domain","revelationuniversityofflorida.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Dridex","08/12/2020 11:00:10","domain","siemensagent.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","08/12/2020 14:15:11","domain","80frontluzkher.xyz"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","08/12/2020 14:15:11","domain","bruzilovv.top"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","08/12/2020 14:15:12","domain","heavyselfartillery.best"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","08/12/2020 14:15:12","domain","killicher.best"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","08/12/2020 14:15:12","domain","kolotiloher.buzz"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","08/12/2020 17:15:10","domain","sndyantipiracydetectorganisationfsnfilm.ydns.eu"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","08/12/2020 17:15:10","domain","begadi.ga"
"CASTALDI-T","ThreatIngestor Event: Twitter-Lokibot","08/12/2020 17:15:10","domain","ge0x.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","08/12/2020 17:30:09","domain","xderty.myq-see.com"
"CASTALDI-T","ThreatIngestor Event: Twitter-Reecdeep","08/12/2020 18:15:08","domain","gadeforvasenate.com"
