"eventname","timestamp","type","value"
"ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:14:58","url","http://185.185.3.40:2404:pass"
"ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:14:58","ip-dst","185.185.3.40"
"ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:14:58","sha256","9128e156ef2c0ed95d615729316ff82615354d6509e30a2e931913cb574dd4dc"
"ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:18:52","url","http://185.185.3.40:2404:pass"
"ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:18:52","ip-dst","185.185.3.40"
"ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:18:53","sha256","08f15e4acb5af5b3095304fbfd9370d33ea57a561da66bc1239477cdc6530dc3"
"ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:18:53","url","http://185.185.3.40:2404:pass"
"ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:18:53","ip-dst","185.185.3.40"
"ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:18:53","sha256","9128e156ef2c0ed95d615729316ff82615354d6509e30a2e931913cb574dd4dc"
"ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:18:53","url","http://185.185.3.40:2404:pass"
"ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:18:53","ip-dst","185.185.3.40"
"ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:18:53","sha256","08f15e4acb5af5b3095304fbfd9370d33ea57a561da66bc1239477cdc6530dc3"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:54","sha256","df2ed991a6ab65f2bc05805376dcf34de7febc5c5d4b37d400546e4e01d90fc0"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:54","sha256","9f38af84820dc29e805029409bbb2a5765036775973e3898b6db1f66c1b47270"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:54","sha256","df2ed991a6ab65f2bc05805376dcf34de7febc5c5d4b37d400546e4e01d90fc0"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:54","sha256","9f38af84820dc29e805029409bbb2a5765036775973e3898b6db1f66c1b47270"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:54","url","http://evahollmann.de.phees.de/test/content/40.Galerien/05.im-reich-des-fauns/"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:54","domain","evahollmann.de.phees.de"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:55","ip-dst","77.220.64.36"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:55","url","http://evahollmann.de.phees.de/test/content/40.Galerien/05.im-reich-des-fauns/"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:55","domain","evahollmann.de.phees.de"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:55","ip-dst","77.220.64.36"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:55","sha256","df2ed991a6ab65f2bc05805376dcf34de7febc5c5d4b37d400546e4e01d90fc0"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:55","sha256","9f38af84820dc29e805029409bbb2a5765036775973e3898b6db1f66c1b47270"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:55","sha256","df2ed991a6ab65f2bc05805376dcf34de7febc5c5d4b37d400546e4e01d90fc0"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:56","sha256","9f38af84820dc29e805029409bbb2a5765036775973e3898b6db1f66c1b47270"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:56","sha256","df2ed991a6ab65f2bc05805376dcf34de7febc5c5d4b37d400546e4e01d90fc0"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:56","sha256","9f38af84820dc29e805029409bbb2a5765036775973e3898b6db1f66c1b47270"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:56","url","http://evahollmann.de.phees.de/test/content/40.Galerien/05.im-reich-des-fauns/"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:56","domain","evahollmann.de.phees.de"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:56","ip-dst","77.220.64.36"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:56","sha256","df2ed991a6ab65f2bc05805376dcf34de7febc5c5d4b37d400546e4e01d90fc0"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:56","sha256","9f38af84820dc29e805029409bbb2a5765036775973e3898b6db1f66c1b47270"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:57","url","http://evahollmann.de.phees.de/test/content/40.Galerien/05.im-reich-des-fauns/"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:57","domain","evahollmann.de.phees.de"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:57","ip-dst","77.220.64.36"
