"eventname","timestamp","type","value"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:56","sha256","9f38af84820dc29e805029409bbb2a5765036775973e3898b6db1f66c1b47270"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:57","sha256","df2ed991a6ab65f2bc05805376dcf34de7febc5c5d4b37d400546e4e01d90fc0"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:57","sha256","9f38af84820dc29e805029409bbb2a5765036775973e3898b6db1f66c1b47270"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:57","sha256","df2ed991a6ab65f2bc05805376dcf34de7febc5c5d4b37d400546e4e01d90fc0"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:57","sha256","9f38af84820dc29e805029409bbb2a5765036775973e3898b6db1f66c1b47270"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:58","sha256","df2ed991a6ab65f2bc05805376dcf34de7febc5c5d4b37d400546e4e01d90fc0"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:58","sha256","9f38af84820dc29e805029409bbb2a5765036775973e3898b6db1f66c1b47270"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:58","sha256","df2ed991a6ab65f2bc05805376dcf34de7febc5c5d4b37d400546e4e01d90fc0"
"ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:58","sha256","9f38af84820dc29e805029409bbb2a5765036775973e3898b6db1f66c1b47270"
"ThreatIngestor Event: Twitter-Lokibot","27/11/2020 11:30:23","md5","13df0c6b2cf16a7bfafa5f2df3e0168c"
"ThreatIngestor Event: Twitter-Lokibot","27/11/2020 11:30:23","md5","8bdbee05e8f38044dfe8258fd71e62c5"
"ThreatIngestor Event: Twitter-Crimsonrat","27/11/2020 11:33:05","sha256","b9446d663f2aef34efdb579ae02e62923b5c3bc02b9d0fe537f5974ae439a422"
"ThreatIngestor Event: Twitter-Crimsonrat","27/11/2020 11:33:05","sha256","47b99e50430e9abad7326d1837ecdda5f995112b0b12406d23df5ef603d52a4e"
"ThreatIngestor Event: Twitter-Ursnif","27/11/2020 11:33:06","sha256","e2ec81c62d7aad9ee7f0d421f0afd0f7415711d2f41e39bc1d194e87cfff84ef"
"ThreatIngestor Event: Twitter-Ursnif","27/11/2020 11:33:06","md5","df765ccd4b1c44dade295ab32b43a73e"
"ThreatIngestor Event: Twitter-Ursnif","27/11/2020 11:33:06","sha256","c232467372fccd98fc562479dc657d524caae15a5455fc0b1b8e03af13fa2fce"
"ThreatIngestor Event: Twitter-Ursnif","27/11/2020 11:33:06","sha256","c232467372fccd98fc562479dc657d524caae15a5455fc0b1b8e03af13fa2fce"
"ThreatIngestor Event: Twitter-Ursnif","27/11/2020 11:33:07","sha256","e2ec81c62d7aad9ee7f0d421f0afd0f7415711d2f41e39bc1d194e87cfff84ef"
"ThreatIngestor Event: Twitter-Ursnif","27/11/2020 11:33:07","sha256","c232467372fccd98fc562479dc657d524caae15a5455fc0b1b8e03af13fa2fce"
